Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1243.34
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1250.03
Oficina de Correos. Sucursal 88. Calle Mejía Lequerica,Instalaciones accesibles NO municipales,Calle Mejia Lequerica 7,Bicipark Montalban,"Calle de Montalbán, 5",1250.9
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,Bicipark Recoletos,"Paseo de Recoletos, 2",1251.87
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,Bicipark Salamanca,Pl. del Marqués de Salamanca,1253.73
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1253.89
Oficina de Correos. Sucursal 01. Calle Villanueva,Instalaciones accesibles NO municipales,Calle Villanueva 30,Bicipark Almagro,"Calle Almagro, 11",1253.98
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1256.71
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,Bicipark Salamanca,Pl. del Marqués de Salamanca,1268.29
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,Bicipark Recoletos,"Paseo de Recoletos, 2",1273.06
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1276.35
Biblioteca Pública José Luis Sampedro (Chamberí),Instalaciones accesibles NO municipales,Calle Felipe El Hermoso 4,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1277.22
Instituto de Educación Secundaria (IES) Tetuán de las Victorias,Instalaciones accesibles NO municipales,Calle Via Limite 14,Bicipark Recuerdo,"Calle Hiedra, 26",1293.13
Museo Arqueológico Nacional,Instalaciones accesibles NO municipales,Calle Serrano 13,Bicipark Salamanca,Pl. del Marqués de Salamanca,1294.56
Círculo de Empresarios,Instalaciones accesibles NO municipales,Calle Marques De Villamagna 3 Planta 11,Bicipark Montalban,"Calle de Montalbán, 5",1295.58
Museo de Historia de la Comunidad Judía de Madrid,Instalaciones accesibles NO municipales,Calle Balmes 3,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1301.64
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1305.46
Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,Bicipark Montalban,"Calle de Montalbán, 5",1308.65
Oficina de Correos. Oficina Principal. Paseo del Prado,Instalaciones accesibles NO municipales,Paseo Prado 1,Bicipark Almagro,"Calle Almagro, 11",1315.79
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,Bicipark Recoletos,"Paseo de Recoletos, 2",1317.77
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1323.74
Colegio Scuola Materna Italiana de Madrid,Instalaciones accesibles NO municipales,Calle Agustin De Betancourt 1,Bicipark Almagro,"Calle Almagro, 11",1326.07
Instituto de Educación Secundaria (IES) Nuestra Señora de la Almudena,Instalaciones accesibles NO municipales,Plaza Remonta 17,Bicipark Orense,"Avenida General Perón, 27",1328.35
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Montalban,"Calle de Montalbán, 5",1337.62
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,Bicipark Recoletos,"Paseo de Recoletos, 2",1346.43
Colegio Público Arquitecto Gaudí,Instalaciones accesibles NO municipales,Calle Rosa Jardon 10,Bicipark Recuerdo,"Calle Hiedra, 26",1347.36
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,Bicipark Montalban,"Calle de Montalbán, 5",1358.02
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1366.42
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Montalban,"Calle de Montalbán, 5",1374.19
Oficina de Correos. Sucursal 03. Calle Maudes,Instalaciones accesibles NO municipales,Calle Maudes 39,Bicipark Orense,"Avenida General Perón, 27",1374.72
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Almagro,"Calle Almagro, 11",1382.97
Biblioteca Central y Servicio de Documentación del Ministerio del Interior,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,1395.58
Ministerio del Interior. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Amador De Los Rios 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,1395.58
Museo Naval,Instalaciones accesibles NO municipales,Paseo Prado 3,Bicipark Almagro,"Calle Almagro, 11",1396.43
Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,Bicipark Orense,"Avenida General Perón, 27",1403.82
Administración Montalbán. AEAT,Instalaciones accesibles NO municipales,Calle Montalban 6,Bicipark Almagro,"Calle Almagro, 11",1408.47
Museo Casa de la Moneda,Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 36,Bicipark Salamanca,Pl. del Marqués de Salamanca,1410.63
Sala de exposiciones Fundación Canal (Castellana 214),Instalaciones accesibles NO municipales,Paseo Castellana 214,Bicipark Recuerdo,"Calle Hiedra, 26",1415.27
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,Bicipark Almagro,"Calle Almagro, 11",1416.19
Oficina de Tramitación del DNI y Pasaporte (Tetuán),Instalaciones accesibles NO municipales,Calle Santa Valentina 2,Bicipark Orense,"Avenida General Perón, 27",1419.66
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1420.39
Oficina de Empleo Sanchinarro,Instalaciones accesibles NO municipales,Avenida Ingeniero Emilio Herrera 23,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,1421.5
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1426.2
Residencia Mirasierra para personas con discapacidad intelectual gravemente afectadas y centro de día CAMP Mirasierra,Instalaciones accesibles NO municipales,Calle La Maso 40,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",1430.88
Colegio Público San Juan de la Cruz,Instalaciones accesibles NO municipales,Calle Honduras 10,Bicipark Recuerdo,"Calle Hiedra, 26",1435.65
Museo Nacional de Antropología,Instalaciones accesibles NO municipales,Calle Alfonso Xii 68,Bicipark Recoletos,"Paseo de Recoletos, 2",1438.13
Aparcamiento público Saba Estación Madrid Atocha P2 y P3,Instalaciones accesibles NO municipales,Paseo Infanta Isabel  Sin Número,Bicipark Montalban,"Calle de Montalbán, 5",1440.11
Oficina de Tramitación del DNI y Pasaporte (Santa Engracia),Instalaciones accesibles NO municipales,Calle Santa Engracia 18,Bicipark Montalban,"Calle de Montalbán, 5",1452.61
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,Bicipark Orense,"Avenida General Perón, 27",1452.81
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,Bicipark Orense,"Avenida General Perón, 27",1455.95
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,Bicipark Almagro,"Calle Almagro, 11",1457.71
Biblioteca del Defensor del Pueblo,Instalaciones accesibles NO municipales,Calle Fortuny 22,Bicipark Recoletos,"Paseo de Recoletos, 2",1458.9
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,Bicipark Almagro,"Calle Almagro, 11",1461.67
Administración María de Molina. AEAT,Instalaciones accesibles NO municipales,Calle Nuñez De Balboa 116,Bicipark Almagro,"Calle Almagro, 11",1461.82
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Almagro,"Calle Almagro, 11",1464.07
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,Bicipark Almagro,"Calle Almagro, 11",1472.63
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,Bicipark Salamanca,Pl. del Marqués de Salamanca,1477.39
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1478.38
Escuela Infantil Betaria,Instalaciones accesibles NO municipales,Calle Padre Rubio 14,Bicipark Recuerdo,"Calle Hiedra, 26",1480.31
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,Bicipark Montalban,"Calle de Montalbán, 5",1483.01
Museo Lázaro Galdiano,Instalaciones accesibles NO municipales,Calle Serrano 122,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1497.66
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1505.71
Instituto de Educación Secundaria (IES) Fortuny,Instalaciones accesibles NO municipales,Calle Fortuny 24,Bicipark Recoletos,"Paseo de Recoletos, 2",1508.25
Colegio Público Reina Victoria,Instalaciones accesibles NO municipales,Calle Principe De Vergara 61,Bicipark Almagro,"Calle Almagro, 11",1514.49
Consorcio Regional de Transportes Públicos Regulares de Madrid,Instalaciones accesibles NO municipales,Plaza Descubridor Diego De Ordas 3 Planta Baja,Bicipark Orense,"Avenida General Perón, 27",1524.45
Teatro Municipal de Títeres. Parque de El Retiro,Instalaciones accesibles NO municipales,Avenida México 4 Parque De El Retiro. Entrada Por Puerta De La Independencia,Bicipark Salamanca,Pl. del Marqués de Salamanca,1531.01
Biblioteca Nacional de España,Instalaciones accesibles NO municipales,Paseo Recoletos 20,Bicipark Salamanca,Pl. del Marqués de Salamanca,1534.77
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Recoletos,"Paseo de Recoletos, 2",1543.41
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,Bicipark Almagro,"Calle Almagro, 11",1550.87
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Almagro,"Calle Almagro, 11",1555.34
Panteón de España,Instalaciones accesibles NO municipales,Calle Julian Gayarre 3,Bicipark Montalban,"Calle de Montalbán, 5",1561.13
Movistar Academy Magariños,Instalaciones accesibles NO municipales,Calle Serrano 129,Bicipark Salamanca,Pl. del Marqués de Salamanca,1563.08
Estación ferroviaria Madrid Puerta de Atocha,Instalaciones accesibles NO municipales,Plaza Emperador Carlos V,Bicipark Recoletos,"Paseo de Recoletos, 2",1567.45
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,Bicipark Recoletos,"Paseo de Recoletos, 2",1570.4
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,Bicipark Montalban,"Calle de Montalbán, 5",1581.33
Oficina de Correos. Sucursal 02. Calle Luis Vives,Instalaciones accesibles NO municipales,Calle Luis Vives 12,Bicipark Salamanca,Pl. del Marqués de Salamanca,1582.14
Sede QuedaT.com Tetuán,Instalaciones accesibles NO municipales,Calle Cedros 3,Bicipark Orense,"Avenida General Perón, 27",1586.88
Galería de Arte Orfila,Instalaciones accesibles NO municipales,Calle Orfila 3,Bicipark Salamanca,Pl. del Marqués de Salamanca,1597.03
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,Bicipark Almagro,"Calle Almagro, 11",1602.3
Ministerio de Política Territorial. Delegación del Gobierno en Madrid. Oficina de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Garcia De Paredes 65,Bicipark Salamanca,Pl. del Marqués de Salamanca,1603.29
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,Bicipark Recoletos,"Paseo de Recoletos, 2",1603.48
Centro de Día Privado 'Sanivida Chamberí',Instalaciones accesibles NO municipales,Calle Palafox 17 Planta Bajo,Bicipark Recoletos,"Paseo de Recoletos, 2",1606.14
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,Bicipark Almagro,"Calle Almagro, 11",1610.26
Colegio Público Luis Bello,Instalaciones accesibles NO municipales,Calle Luis Cabrera 66,Bicipark Salamanca,Pl. del Marqués de Salamanca,1614.82
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,Bicipark Almagro,"Calle Almagro, 11",1619.36
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Almagro,"Calle Almagro, 11",1625.83
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",1626.23
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Almagro,"Calle Almagro, 11",1631.68
"Sala de exposiciones Fundación Canal (Mateo Inurria, 2)",Instalaciones accesibles NO municipales,Calle Mateo Inurria 2,Bicipark Orense,"Avenida General Perón, 27",1632.52
Teatros del Canal,Instalaciones accesibles NO municipales,Calle Cea Bermudez 1,Bicipark Almagro,"Calle Almagro, 11",1635.89
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,1636.42
Colegio Sagrado Corazón. Avenida Alfonso XIII.,Instalaciones accesibles NO municipales,Avenida Alfonso Xiii 127,Bicipark Recuerdo,"Calle Hiedra, 26",1639.68
Biblioteca del Consejo General del Poder judicial,Instalaciones accesibles NO municipales,Calle Marques De La Ensenada 8,Bicipark Salamanca,Pl. del Marqués de Salamanca,1639.97
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,Bicipark Almagro,"Calle Almagro, 11",1640.02
Sede QuedaT.com Tetuán,Instalaciones accesibles NO municipales,Calle Cedros 3,Bicipark Recuerdo,"Calle Hiedra, 26",1643.38
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,1643.38
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Salamanca,Pl. del Marqués de Salamanca,1643.41
Oficina de Correos. Sucursal 06. Calle Claudio Coello,Instalaciones accesibles NO municipales,Calle Claudio Coello 100,Bicipark Recoletos,"Paseo de Recoletos, 2",1651.45
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,Bicipark Aviación,Parking Aviación Española,1653.11
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,Bicipark Recoletos,"Paseo de Recoletos, 2",1656.62
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,Bicipark Almagro,"Calle Almagro, 11",1658.89
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 14 Maldonado,Instalaciones accesibles NO municipales,Calle Maldonado 2,Bicipark Recoletos,"Paseo de Recoletos, 2",1660.19
"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación. Sede Palacio de Santa Cruz",Instalaciones accesibles NO municipales,Plaza Provincia 1,Bicipark Recoletos,"Paseo de Recoletos, 2",1661.09
Museo Nacional de Ciencias Naturales,Instalaciones accesibles NO municipales,Calle Jose Gutierrez Abascal 2,Bicipark Salamanca,Pl. del Marqués de Salamanca,1668.39
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,Bicipark Recoletos,"Paseo de Recoletos, 2",1673.98
